lat,lng,population
53.3,69.42,128873
54.88,69.22,228238
52.3,76.95,329002
43.5346,75.2139,11238
43.325,76.915,1209000
52.4997,73.0997,7189
42.4369,68.8048,42648
42.1899,69.8799,23058
52.4502,71.9597,8543
50.065,72.965,170600
52.6404,70.41,23020
50.5799,72.5699,7305
49.4249,75.4649,8195
51.73,75.3199,127868
49.7453,84.2548,49658
53.7506,62.0502,9838
45.6914,63.2413,36175
51.6303,73.1049,25141
48.0253,70.7999,22170
52.698,62.5749,7155
49.6003,81.0549,9087
50.435,80.275,311353
43.3341,76.8288,20996
52.193,61.2399,46740
48.2749,72.8599,9710
44.1616,79.9801,36496
46.9833,54.0165,37103
47.0666,51.8666,31624
47.1127,51.92,182753
19.3337,103.3666,5189
19.45,103.2167,
17.9667,102.6,754000
20.2775,100.4128,6347
18.4957,102.4142,
20.95,101.4167,3225
21.6833,102.1,6000
17.4112,104.8361,76928
18.3826,103.6586,
19.8845,102.1416,107142
19.2505,101.7501,16200
16.5376,104.773,84898
15.4171,106.6946,
15.1221,105.8183,102775
14.808,106.839,4297
20.4167,104.0333,38992
20.6923,101.9847,
15.716,106.427,5521
14.8833,105.8667,12994
33.872,35.5097,1846000
33.8501,35.9042,78145
34.0058,36.2181,
33.8333,35.5333,9000
34.5428,36.0797,
33.563,35.3688,173894
33.3833,35.45,80000
34.42,35.87,530000
14.002,-61,37963
47.2197,9.5113,
47.1182,9.5444,
47.1661,9.5096,
47.2408,9.5247,
47.2205,9.5426,
47.2109,9.5216,
47.1101,9.524,
47.0667,9.5025,
47.1337,9.5167,36281
47.1844,9.5436,
47.2325,9.5463,
6.932,79.8578,217000
6.693,80.386,47832
5.949,80.5428,68244
6.9,79.95,115826
6.7804,79.88,200000
8.35,80.3833,118302
6.03,80.24,99478
8.033,79.826,45661
7.28,80.67,111701
6.9837,81.0499,47587
8.569,81.233,108420
9.4004,80.3999,103717
7.717,81.7,129222
9.675,80.005,250000
7.0667,-10.4875,
8.4167,-9.75,26594
6.7533,-11.3686,11969
5.9161,-10.0525,48315
6.3106,-10.8048,1041000
6.8706,-10.8211,
5.8811,-10.0447,
6.0704,-8.13,25678
4.8,-8.1667,2733
5.465,-9.578,2578
5.1974,-7.8758,
7.0104,-9.49,45835
6.526,-10.349,33945
7.371,-8.685,11415
5.0111,-9.0388,10374
6.4333,-10.6,4089
4.3754,-7.717,32661
-29.3167,27.4833,361324
-29.291,29.078,8809
-29.522,28.6084,
-30.411,27.716,24130
-30.1154,28.6894,
-29.8166,27.25,57059
-28.878,28.056,47675
-29.153,27.753,5115
-30.159,27.48,24992
-28.75,28.25,16330
55.7204,21.1199,192307
55.9203,21.071,
55.3086,20.9965,
55.8888,21.2445,
55.2522,22.2897,
55.3453,21.4733,
55.7271,21.9234,
55.9077,21.8456,
55.4898,22.1869,
55.5968,26.4398,
55.7322,26.2512,
55.3406,26.1605,
55.4976,25.5992,
55.133,26.1595,
55.9587,25.5947,
55.2247,25.4169,
54.3086,25.3868,
54.6834,25.3166,542366
55.8401,24.9803,
54.6399,24.936,
56.1986,24.7521,
55.5246,25.1066,
55.9831,22.2343,
55.6301,22.9349,
54.5599,23.3541,
54.2333,23.5147,
54.9534,23.0478,
55.8111,23.5411,
55.9386,23.325,133528
54.6048,24.0311,
54.0157,23.987,
55.2878,23.9727,
54.3964,24.0414,
54.636,23.9458,
54.7863,24.6626,
54.9504,23.88,374643
55.0801,24.2754,
54.8653,24.4682,
55.74,24.37,127405
56.2394,23.6154,
54.7497,23.495,
54.648,23.0305,
56.0625,24.3997,
55.9789,23.8551,
55.3797,23.1239,
55.1379,21.9138,
55.0756,22.7642,
54.4172,23.2283,
55.044,24.9545,
56.2706,21.5321,
56.3122,22.3265,
56.25,22.75,
55.2494,24.7636,
54.2155,24.5754,
49.645,5.9908,
49.4958,5.9806,
49.545,6.3669,
49.8056,6.4222,
49.7489,6.1061,
49.7656,5.8908,
49.935,6.2089,
49.9689,5.9319,
50.0547,6.0314,
49.8833,6.1667,6242
49.7,6.3333,3958
49.6117,6.13,107260
56.6833,22.0167,
55.88,26.51,111564
56.4833,25.85,
56.1333,27.0167,
56.7225,24.805,
56.6667,22.5,
56.6864,23.7878,
56.7,22.5333,
56.6527,23.7128,67207
56.4167,24,
56.625,23.2786,
56.5986,24.2022,
56.7325,23.0136,
56.4667,22.8833,
56.9669,23.1553,
56.4781,23.3867,
57.7531,24.359,
57.3899,21.5606,42884
57.505,22.3504,
56.6132,25.0832,
56.2044,25.3077,
56.9801,21.564,
56.969,21.968,
56.8898,21.1817,
56.9419,23.9137,
57.0705,24.3371,
57.0389,22.7724,
57.5015,22.8088,
57.1293,24.2842,
57.0449,24.4195,
57.2599,24.4189,
56.9533,23.3387,
57.3364,23.1235,
57.2465,22.5876,
56.9567,23.7233,
56.9032,24.0467,
56.9363,24.3039,
56.386,28.1218,
56.5396,27.7189,
56.0961,27.5328,
56.9439,27.644,
56.5498,27.8837,
56.7874,27.6732,
56.95,24.1,742572
55.8969,27.172,
57.513,24.724,
56.294,26.7248,
56.1984,26.5081,
55.9779,26.2978,
56.3456,21.0646,
56.4079,24.1944,
57.1843,27.6719,
56.3567,26.1761,
57.4216,27.0466,
56.5,27.3166,38340
57.0033,27.1337,
56.3403,26.7999,
56.5505,26.9298,
56.6091,26.7547,
57.5394,26.694,
56.851,26.2184,
57.1775,26.0284,
56.9043,26.7161,
57.1734,26.7527,
57.1287,27.27,
56.1615,25.7482,
56.3465,25.5581,
56.9675,26.3076,
56.7455,24.725,
57.0618,25.8179,
57.4242,25.9017,
57.2433,25.2803,
57.3091,25.2761,
56.8988,25.6429,
57.7767,26.0118,
56.5358,21.1747,
57.6269,25.6919,
57.4731,25.4917,
57.8619,25.0547,
57.7672,24.8774,
57.6949,25.275,
56.6516,25.4364,
56.6029,25.2636,
56.6485,25.1195,
56.7445,24.4008,
56.6061,24.5223,
56.5047,25.7618,
56.6177,25.7194,
56.51,21.01,85132
57.8961,25.3342,
57.8842,25.458,
56.5797,21.3338,
57.3337,25.6085,
56.7211,21.6016,
57.5198,25.3404,
57.5387,25.4257,
57.1538,24.8595,
57.3115,25.3571,
56.8113,24.6113,
57.1821,24.7056,
57.1534,24.6433,
56.9747,24.6329,
56.4458,21.5939,
56.164,21.1627,
56.861,24.3498,
56.834,24.4968,
57.0987,24.6863,
57.0101,24.9578,
56.7947,23.9358,
56.8296,24.2318,
57.2379,25.0436,
57.3708,25.0324,
56.4185,21.8541,
32.8925,13.18,2189000
32.1704,13.02,146810
31.21,16.59,128123
25.9044,13.8972,55071
27.0333,14.4333,100249
32.38,15.1,386120
32.5319,13.0175,
32.9344,12.0791,180310
31.8804,10.97,66609
29.1167,15.9333,18878
32.7648,22.6391,127974
32.7604,21.62,1794
32.7604,12.72,200000
24.3704,14.4708,1500
29.7504,24.5166,1744
29.108,21.2869,6610
32.6604,14.26,201943
30.77,20.22,143833
24.1667,23.2696,
24.2,23.29,24132
30.6704,18.2666,50
27.517,15.0333,300
32.1167,20.0667,1180000
30.1679,10.4567,931
31.4337,12.9833,26107
30.1333,9.5,6623
31.6606,20.0155,5348
26.5903,12.7751,
24.9647,10.1728,24347
31.7704,13.99,65392
28.5504,17.5834,10
26.3666,15.8,500
27.4471,13.0517,
30.257,19.2,100
27.5333,14.2834,45421
29.2337,19.2166,2500
32.8281,21.8622,45000
32.5005,20.83,169540
32.08,23.96,263527
34.2704,-6.58,551786
28.98,-10.07,115267
34.0546,-5.0004,1002000
33.6,-7.6164,3181000
30.44,-9.62,825467
32.3373,-6.3498,
35.7473,-5.8327,750060
33.0104,-7.62,161748
34.69,-1.91,409391
33.9004,-5.56,697628
34.0253,-6.8361,1705000
31.63,-8,872000
33.2604,-8.51,180470
31.9404,-4.45,228489
28.4304,-11.1,64868
34.2204,-4.02,199633
35.2004,-6.16,120082
35.0204,-5.91,306600
32.32,-9.24,353476
29.7104,-9.74,57705
34.8103,-5.57,69658
43.7396,7.4069,36371
46.4823,28.253,
47.7493,28.9658,
46.6367,29.4111,
47.9479,27.5638,
47.6363,28.143,
47.5767,27.7126,
47.8914,28.2931,
47.8161,28.7972,
46.5129,29.6619,
47.3849,28.8245,
46.2946,28.6565,
46.5268,28.7644,
46.2774,28.2027,
46.3317,28.9636,
48.1721,27.3034,
48.3827,27.4381,
48.0355,27.8129,
48.2394,27.6056,
48.3629,27.0779,
46.9435,28.7823,
47.7591,27.9053,151355
47.2131,29.1593,
46.8316,29.4777,
46.8784,29.2348,
45.9079,28.1944,63407
47.005,28.8577,688134
47.1422,28.6077,
46.8531,29.64,157000
47.5011,28.3654,
45.9027,28.6682,
47.2631,29.1608,23254
47.3087,29.1101,
47.2556,28.3099,
47.7751,27.5189,
46.8305,28.5906,
47.0816,28.1714,
48.1566,28.2849,
47.2108,27.8005,
42.8425,19.8733,
42.5969,19.9456,
42.7339,19.7919,
42.9089,19.9644,
42.5619,19.8339,
42.8242,19.5225,
42.466,19.2663,145850
43.0292,19.7456,
42.0931,19.1003,
42.2864,18.84,
42.3922,18.9225,
42.5472,19.1053,
42.4531,18.5375,
42.4258,18.7719,
42.9639,19.5825,
42.775,18.9583,
43.1528,18.8394,
43.3522,19.3542,
42.8439,20.1683,
42.9564,19.0967,
42.4364,18.6961,
41.9283,19.2064,
43.1547,19.1219,
18.0706,-63.0847,
-18.9166,47.5166,1697000
-18.1818,49.405,210226
-14.8833,50.2833,47224
-15.4333,49.7333,38046
-15.8328,48.8166,9705
-16.7495,44.4833,1022
-16.0995,46.6333,31253
-13.4,48.2666,22680
-15.67,46.345,154657
-13.6829,48.45,30621
-12.2765,49.3115,82937
-19.5162,45.4666,20631
-21.2167,48.3333,27686
-21.7391,43.3657,16727
-23.3568,43.69,115319
-21.4329,44.3333,1536
